Carimbo de data/hora,Qual seu vínculo com a UFMG? ,Em qual curso você está matriculado na UFMG?,Qual a sua classificação na Fump?,Em qual curso você está matriculado na UFMG?,Qual a sua classificação na Fump?,Qual o seu gênero?,Qual sua cor/raça? ,Qual sua renda mensal em salários mínimos?,Qual Restaurante Universitário você mais frequenta? ,Quantos dias na semana você come no Restaurante Universitário?,Quais refeições você faz no RU?, Em qual ano você começou a frequentar o RU? , A quantidade dos caixas é adequada a proporção de pessoas que frequenta o RU. ,"A higienização das mãos dentro do RU pode ser feita de forma rápida e eficiente. 
","As instalações do RU são confortáveis.
","O RU possui um cardápio variável, diferenciado e que atende as minhas necessidades. 
",A comida do RU é saborosa.,Me sinto saciado/saciada/saciade com a alimentação no RU.,Você come a refeição vegetariana no RU?,Tipo de dieta,Frequência do consumo da alimentação vegetariana por semana,Como você avalia o sabor do cardápio vegetariano?,Como você avalia a variedade do cardápio vegetariano?,"Na sua percepção, você acha que o cardápio vegetariano disponibilizado pelos RU´s atende às necessidades nutricionais?",O RU cobra um valor pelos seus produtos e serviços que vale a pena pagar ,O RU cobra valores que eu acredito serem compatíveis (justos) com os benefícios que eu recebo  ,Sem o serviço do RU eu não conseguiria realizar uma refeição completa por questões financeiras,Quão importante é o RU para sua permanência na Universidade? ,"No geral, qual seu grau de satisfação com os Restaurantes Universitários da UFMG?","Você já presenciou alguma situação incômoda/constrangedora no RU? Caso deseje, descreva a seguir o que aconteceu: ","Deixe aqui algum comentário, sugestão ou crítica ao serviço de RU da UFMG:"
01/12/2022 07:10:40,ESTUDANTE DE GRADUAÇÃO,Direito ,Nível 1,,,Homem Cis,Branco,"Menos de 1 salário minimo (até R$1212,00)",RU Direito,5,Jantar,2019,3,4,5,5,5,5,,,,,,,5,5,5,5,5,Não.,Fila exclusiva para fump nível 1. 
01/12/2022 07:45:04,ESTUDANTE DE GRADUAÇÃO,Filosofia ,Nível 1,,,Homem Cis,Branco,"Menos de 1 salário minimo (até R$1212,00)",RU Setorial 1 ( Pampulha),5,"Café da manhã, Almoço, Jantar",2019,4,4,4,5,5,5,,,,,,,5,5,5,5,5,Prefiro não comentar!,
02/12/2022 09:46:19,ESTUDANTE DE GRADUAÇÃO,Ciências Sociais,Não sou assistido pela Fump,,,Homem Cis,Branco,"de 1 a 3 salários mínimos (De R$1212,00 até R$3636,00)",RU Setorial 1 ( Pampulha),1,Almoço,2020/1,3,3,1,3,1,3,Sim,Onívoro (consome alimentos de origem animal e vegetal),3 a 4 vezes,1,3,3,1,3,1,1,1,,
02/12/2022 09:48:56,ESTUDANTE DE GRADUAÇÃO,Ciências Sociais ,Não sou assistido pela Fump,,,Mulher Cis,Preto,"Menos de 1 salário minimo (até R$1212,00)",RU Setorial 1 ( Pampulha),1,Almoço,2022/1,2,2,4,5,5,5,Não,,,,,,4,4,3,4,4,Filas grandes a ponto de ter desistência por parte de alunes.,"Acredito que o RU possa aumentar a quantidade de caixas,para redução das filas e acredito também que a organização na parte da higienização das mãos  deve ser monitorada por algum responsável pelo ambiente,para que evite essa concentração de pessoas."
02/12/2022 09:50:36,ESTUDANTE DE GRADUAÇÃO,Ciências Sociais ,Não sou assistido pela Fump,,,Mulher Cis,Pardo,"Menos de 1 salário minimo (até R$1212,00)",RU Setorial 1 ( Pampulha),3,Almoço,2022/1,3,5,5,4,4,5,Sim,"Ovolactovegetariano (não consomem nenhum tipo de carne, mas se alimenta de laticínios e ovos)",Todos os dias,3,2,4,4,4,3,2,4,,
02/12/2022 11:38:11,ESTUDANTE DE GRADUAÇÃO,ciencias sociais ,Não sou assistido pela Fump,,,Mulher Cis,Pardo,"de 1 a 3 salários mínimos (De R$1212,00 até R$3636,00)",RU Setorial 1 ( Pampulha),1,Almoço,2018,2,1,2,3,4,5,Sim,Onívoro (consome alimentos de origem animal e vegetal),1 a 2 vezes,2,2,3,4,3,2,2,4,,
02/12/2022 11:39:20,ESTUDANTE DE GRADUAÇÃO,Ciências Sociais,Não sou assistido pela Fump,,,Mulher Cis,Pardo,"de 1 a 3 salários mínimos (De R$1212,00 até R$3636,00)",RU Setorial 1 ( Pampulha),3,"Almoço, Jantar",2020/1,1,5,2,5,5,5,Não,,,,,,5,5,2,5,5,,Falta ventiladores!! Calorão
02/12/2022 11:40:55,ESTUDANTE DE GRADUAÇÃO,Antropologia,Nível 3,,,Homem Cis,Pardo,"de 1 a 3 salários mínimos (De R$1212,00 até R$3636,00)",RU Setorial 1 ( Pampulha),1,Jantar,2017/1,4,4,3,3,5,5,Sim,Vegano ou vegetariano estrito (não consomem nada de origem animal),Todos os dias,3,3,5,4,5,4,5,5,,
02/12/2022 11:41:05,ESTUDANTE DE GRADUAÇÃO,Ciências Sociais ,Não sou assistido pela Fump,,,Homem Cis,Branco,"Menos de 1 salário minimo (até R$1212,00)",RU Setorial 1 ( Pampulha),5,Almoço,2022/1,2,1,3,3,3,3,Sim,Onívoro (consome alimentos de origem animal e vegetal),1 a 2 vezes,2,3,1,3,3,3,5,3,,
02/12/2022 11:44:25,ESTUDANTE DE GRADUAÇÃO,Ciências Sociais ,Não sou assistido pela Fump,,,Homem Cis,Pardo,"de 1 a 3 salários mínimos (De R$1212,00 até R$3636,00)",RU Setorial 1 ( Pampulha),2,"Almoço, Jantar",2020/1,2,3,4,4,4,4,Não,,,,,,5,5,4,4,4,,"Uma proposta que já me veio a cabeça em conjunto aos meus amigos é que se criasse um mecanismo para transferência de dinheiro para o cartão do estudante para tornar mais eficiente a entrada e eliminar boa parte do tamanho da fila, similar ao que se tem com o cartão BHBUS e no MOVE."
